id,old_name,new_name,collection,shape,gender,category,slug
243884,G 2622 C2,Mirto,City,Prostokątne,Damskie,Korekcyjne,goya-okulary-korekcyjne-g-2622-c2
243885,G 2622 C1,Lavanda,City,Prostokątne,Damskie,Korekcyjne,goya-okulary-korekcyjne-g-2622-c1
243886,okulary korekcyjne G 2619 C4,Espliego,City,Prostokątne,Damskie,Korekcyjne,goya-okulary-korekcyjne-g-2619-c4
243887,okulary korekcyjne G 2619 C3,Oliva,City,Prostokątne,Damskie,Korekcyjne,goya-okulary-korekcyjne-g-2619-c3
243888,G 2652 C3,Palma,Coast,Kocie,Damskie,Korekcyjne,goya-okulary-korekcyjne-g-2652-c3
243898,G 2637,Retama,Coast,Kocie,Damskie,Korekcyjne,goya-okulary-korekcyjne-g-2637-c2
243903,okulary korekcyjne G 2635 C4,Jara,Coast,Kocie,Damskie,Korekcyjne,goya-okulary-korekcyjne-g-2635-c4
243904,okulary korekcyjne G 2635 C3,Tomillo,Coast,Kocie,Damskie,Korekcyjne,goya-okulary-korekcyjne-g-2635-c3
243905,okulary korekcyjne G 2635 C1,Romero,Coast,Kocie,Damskie,Korekcyjne,goya-okulary-korekcyjne-g-2635-c1
243911,okulary korekcyjne G 2672 C1,Salvia,Coast,Kocie,Damskie,Korekcyjne,goya-okulary-korekcyjne-g-2672-c1
243912,G 2659 C4,Menta,City,Prostokątne,Damskie,Korekcyjne,goya-okulary-korekcyjne-g-2659-c4
243913,G 2659 C1,Laurel,City,Prostokątne,Damskie,Korekcyjne,goya-okulary-korekcyjne-g-2659-c1
243918,okulary korekcyjne G 2657 C2,Nardo,Coast,Kocie,Damskie,Korekcyjne,goya-okulary-korekcyjne-g-2657-c2
243919,G 2655 C1,Azucena,Coast,Kocie,Damskie,Korekcyjne,goya-okulary-korekcyjne-g-2655-c1
